game_id,season,date,home,away,score_home,score_away,spread,total,moneyline_home,moneyline_away,p_home_raw,p_away_raw,overround,p_home_fair,p_away_fair,home_won
1,2008,2007-10-30,sa,por,106,97,13.0,189.5,-1400.0,900.0,0.933333333333333,0.1,1.03333333333333,0.903225806451613,0.0967741935483871,1
2,2008,2007-10-30,gs,utah,96,117,1.0,212.0,-120.0,100.0,0.545454545454545,0.5,1.04545454545455,0.521739130434783,0.478260869565217,0
3,2008,2007-10-30,lal,hou,93,95,5.0,199.0,190.0,-230.0,0.344827586206897,0.696969696969697,1.04179728317659,0.33099297893681,0.66900702106319,0
4,2008,2007-10-31,tor,phi,106,97,6.5,191.0,-305.0,255.0,0.753086419753086,0.28169014084507,1.03477656059816,0.727776844227861,0.272223155772139,1
5,2008,2007-10-31,ind,wsh,119,110,1.5,203.5,105.0,-125.0,0.48780487804878,0.555555555555556,1.04336043360434,0.467532467532468,0.532467532467533,1
6,2008,2007-10-31,orl,mil,102,83,6.5,197.0,-295.0,245.0,0.746835443037975,0.289855072463768,1.03669051550174,0.72040346841267,0.27959653158733,1
7,2008,2007-10-31,bkn,chi,112,103,1.5,186.0,-125.0,105.0,0.555555555555556,0.48780487804878,1.04336043360434,0.532467532467533,0.467532467532468,1
8,2008,2007-10-31,cle,dal,74,92,2.5,184.0,120.0,-140.0,0.454545454545455,0.583333333333333,1.03787878787879,0.437956204379562,0.562043795620438,0
9,2008,2007-10-31,mem,sa,101,104,6.5,201.0,210.0,-250.0,0.32258064516129,0.714285714285714,1.036866359447,0.311111111111111,0.688888888888889,0
10,2008,2007-10-31,no,sac,104,90,9.5,190.5,-525.0,425.0,0.84,0.19047619047619,1.03047619047619,0.815157116451017,0.184842883548983,1
11,2008,2007-10-31,den,okc,120,103,11.5,217.5,-825.0,625.0,0.891891891891892,0.137931034482759,1.02982292637465,0.86606334841629,0.13393665158371,1
12,2008,2007-11-01,mia,det,80,91,4.0,178.5,160.0,-190.0,0.384615384615385,0.655172413793103,1.03978779840849,0.369897959183674,0.630102040816327,0
13,2008,2007-11-01,utah,hou,95,106,3.0,193.0,-160.0,140.0,0.615384615384615,0.416666666666667,1.03205128205128,0.596273291925466,0.403726708074534,0
14,2008,2007-11-01,okc,phx,99,106,12.0,224.5,575.0,-725.0,0.148148148148148,0.878787878787879,1.02693602693603,0.144262295081967,0.855737704918033,0
15,2008,2007-11-02,cha,mil,102,99,4.0,196.5,-170.0,150.0,0.62962962962963,0.4,1.02962962962963,0.611510791366906,0.388489208633094,1
16,2008,2007-11-02,orl,det,92,116,4.0,183.5,-170.0,150.0,0.62962962962963,0.4,1.02962962962963,0.611510791366906,0.388489208633094,0
17,2008,2007-11-02,ind,mia,87,85,6.5,192.0,-275.0,235.0,0.733333333333333,0.298507462686567,1.0318407960199,0.710703953712633,0.289296046287367,1
18,2008,2007-11-02,bkn,tor,69,106,4.0,193.5,-175.0,155.0,0.636363636363636,0.392156862745098,1.02852049910873,0.618717504332756,0.381282495667244,0
19,2008,2007-11-02,atl,dal,101,94,5.5,191.0,210.0,-250.0,0.32258064516129,0.714285714285714,1.036866359447,0.311111111111111,0.688888888888889,1
20,2008,2007-11-02,cle,ny,110,106,6.0,186.0,-250.0,210.0,0.714285714285714,0.32258064516129,1.036866359447,0.688888888888889,0.311111111111111,1
21,2008,2007-11-02,bos,wsh,103,83,7.5,205.5,-335.0,285.0,0.770114942528736,0.25974025974026,1.029855202269,0.747789534715176,0.252210465284824,1
22,2008,2007-11-02,no,por,113,93,7.5,203.0,-325.0,275.0,0.764705882352941,0.266666666666667,1.03137254901961,0.741444866920152,0.258555133079848,1
23,2008,2007-11-02,min,den,91,99,7.5,208.5,315.0,-375.0,0.240963855421687,0.789473684210526,1.03043753963221,0.233846153846154,0.766153846153846,0
24,2008,2007-11-02,chi,phi,85,96,9.5,190.0,-500.0,400.0,0.833333333333333,0.2,1.03333333333333,0.806451612903226,0.193548387096774,0
25,2008,2007-11-02,sa,sac,96,80,14.5,191.0,-2000.0,1200.0,0.952380952380952,0.0769230769230769,1.02930402930403,0.925266903914591,0.0747330960854093,1
26,2008,2007-11-02,phx,lal,98,119,8.0,215.5,-435.0,365.0,0.813084112149533,0.21505376344086,1.02813787559039,0.790831785749194,0.209168214250806,0
27,2008,2007-11-02,lac,gs,120,114,1.5,211.0,-125.0,105.0,0.555555555555556,0.48780487804878,1.04336043360434,0.532467532467533,0.467532467532468,1
28,2008,2007-11-03,phi,bkn,88,93,3.0,186.5,130.0,-150.0,0.434782608695652,0.6,1.03478260869565,0.420168067226891,0.579831932773109,0
29,2008,2007-11-03,wsh,orl,82,94,1.0,197.5,-130.0,110.0,0.565217391304348,0.476190476190476,1.04140786749482,0.542743538767396,0.457256461232604,0
30,2008,2007-11-03,mem,ind,111,121,5.5,211.5,-220.0,180.0,0.6875,0.357142857142857,1.04464285714286,0.658119658119658,0.341880341880342,0
31,2008,2007-11-03,mil,chi,78,72,4.0,193.0,155.0,-175.0,0.392156862745098,0.636363636363636,1.02852049910873,0.381282495667244,0.618717504332756,1
32,2008,2007-11-03,hou,por,89,80,11.5,203.0,-1000.0,700.0,0.909090909090909,0.125,1.03409090909091,0.879120879120879,0.120879120879121,1
33,2008,2007-11-03,dal,sac,123,102,15.5,189.0,-3000.0,1500.0,0.967741935483871,0.0625,1.03024193548387,0.939334637964775,0.060665362035225,1
34,2008,2007-11-03,utah,gs,133,110,9.5,215.5,-550.0,425.0,0.846153846153846,0.19047619047619,1.03663003663004,0.816254416961131,0.183745583038869,1
