short_name,brand,reviews,avg_rating
JBL Flip 6,JBL,431,4.473317865429235
Beats Pill+,Beats,399,4.3007518796992485
Bose SoundLink,Bose,394,4.312182741116751
Sony XB Series,Sony,259,4.1312741312741315
B0C2F5KD26,Unknown,98,4.428571428571429
B07PXGQC1Q,Unknown,97,4.804123711340206
B09CKF166Y,Unknown,96,4.458333333333333
B01IOD7KB6,Unknown,96,4.510416666666667
B09H27SXHS,Unknown,96,3.1458333333333335
B09HN594TL,Unknown,95,4.589473684210526
B0BTZKP1TP,Unknown,95,3.4526315789473685
B08Z1RP9K8,Unknown,95,3.4842105263157896
B09XXW54QG,Unknown,94,4.73404255319149
B0CF7GYNW2,Unknown,94,4.638297872340425
B0BZ9WMLNQ,Unknown,93,4.365591397849462
B088KRKFJ3,Unknown,92,4.173913043478261
B0BYSQDWRT,Unknown,91,4.681318681318682
B097XX34SL,Unknown,91,4.43956043956044
B09PYVXXW5,Unknown,86,3.546511627906977
B08YRT9T38,Unknown,86,4.4186046511627906
B08ZR5JB9G,Unknown,85,3.5647058823529414
B0B2SH4CN6,Unknown,84,4.511904761904762
B08X4YMTPM,Unknown,83,4.927710843373494
B0BZTCXG6T,Unknown,82,3.6219512195121952
B09D1HMBQ3,Unknown,78,3.923076923076923
B096SV8SJG,Unknown,76,4.434210526315789
B0B1NGPY94,Unknown,76,4.2894736842105265
B0CY6S748H,Unknown,75,3.6
B07GWRCZQP,Unknown,73,4.8493150684931505
B0BQPNMXQV,Unknown,71,4.647887323943662
B0B44F1GGK,Unknown,67,3.925373134328358
B0BZK2Z2TC,Unknown,66,4.409090909090909
B0B43Y8GHZ,Unknown,66,4.46969696969697
B0C1QWWZR4,Unknown,65,4.446153846153846
B09FM6PDHP,Unknown,62,4.629032258064516
B0BYPFNW6T,Unknown,62,4.306451612903226
B08VL5S148,Unknown,62,4.758064516129032
B093SLWMS7,Unknown,62,4.693548387096774
B08NLCW9WY,Unknown,61,4.754098360655738
B0B445JCZ3,Unknown,59,3.9661016949152543
B07YBN9XXG,Unknown,57,4.157894736842105
B09V9P5Q6W,Unknown,53,4.30188679245283
B09CFP6J6D,Unknown,52,4.269230769230769
B0CXL4FQBK,Unknown,50,4.66
B0D3JB14QS,Unknown,49,3.163265306122449
B099TJGJ91,Unknown,48,4.958333333333333
B099TLMRB6,Unknown,47,4.9361702127659575
Anker Soundcore,Anker,42,4.214285714285714
B0C345M3T7,Unknown,40,4.15
B0CD2FSRDD,Unknown,31,4.258064516129032
B0CPFV77W4,Unknown,30,4.366666666666666
B09JL41N9C,Unknown,25,4.64
B0863H1JKB,Unknown,24,3.1666666666666665
B0CVFM97GD,Unknown,12,4.083333333333333
B07DD3WBYW,Unknown,10,4.1
B0BG93TZ5N,Unknown,9,5.0
B0BYC52LYP,Unknown,7,4.571428571428571
B0CVFKZ1LC,Unknown,6,4.666666666666667
B0BW34LCB8,Unknown,4,4.0
B0D6WD2QSQ,Unknown,1,5.0
