brand,reviews,avg_rating
Unknown,3465,4.282539682539682
JBL,431,4.473317865429235
Beats,399,4.3007518796992485
Bose,394,4.312182741116751
Sony,259,4.1312741312741315
Anker,42,4.214285714285714
